name,1d,1w,1m,1y,all
Auckland,0.050227743411562664,0.33952034816184695,0.940079118688462,0.7604174484473771,0.7572359943836846
Bay of Plenty,0.2977388913118496,0.27268564745947144,0.2799528101494614,0.6477872304059471,0.8692741546630983
Canterbury,0.6556996256287727,0.8957343430195942,0.10735970114894655,0.3830060690955991,0.7664793272581054
Gisborne,0.4819973490809998,0.6628419659031513,0.4536155288236522,0.2290108836214556,0.6078934737797933
Hawke's Bay,0.21526259457040475,0.19691968233006862,0.8416878882615167,0.8016136855087438,0.8036955000347857
Manawatu-Wanganui,0.24462847661285547,0.7568174552374016,0.6673685643236855,0.13420846680019916,0.3209462114701761
Marlborough,0.6534678676516664,0.43940049992994834,0.15931781096970166,0.4981906760872289,0.3730757878210096
Nelson,0.49979201756520963,0.5593641980080761,0.0542543769640772,0.6917151684767766,0.11860291874509454
Northland,0.8874233429978752,0.9581554388736211,0.00809752434015254,0.13244444015226742,0.15685875035169194
Otago,0.12305339166672347,0.6211478389603636,0.3334094225153166,0.40115511467150256,0.31342688453585443
Southland,0.6037543468546741,0.4780615655549856,0.5872055682780781,0.014626647073421095,0.3917356068919562
Taranaki,0.5313849882428844,0.07066181005028904,0.4366328554058795,0.16916545180430864,0.7716711228133457
Waikato,0.785420337974573,0.0824320775331856,0.997275566956458,0.6348960409715241,0.7163602060208729
Wellington,0.4812694019375404,0.1639586241404879,0.20268784089612724,0.8929446945420528,0.46544889343495566
West Coast,0.47163409984896576,0.46548838448669083,0.3557217067192495,0.03466178572100087,0.4667266877128502
