name,1d,1w,1m,1y,all
Afghanistan,94.39800529464681,22.530881199893603,54.905213523995776,58.758331391643914,84.04338892184386
Angola,72.66809664117841,62.21662029763467,9.961971079144604,58.646024374852715,28.86706480999329
Albania,53.825120819888426,5.678353631041844,27.679512257517946,74.95467181554538,57.89831319170874
United Arab Emirates,50.35252843146627,50.28248364742486,61.16767804907104,34.31212989265383,72.14173575909982
Argentina,70.78644504490721,56.82674967129751,39.22879340989154,52.70133751963265,8.440363911487614
Armenia,76.64316942930769,43.144569294905175,54.67072540476012,12.023784285888418,1.9308304656456166
French Southern Territories,26.588500372710566,68.40494963613716,86.86827268461049,62.91755499153694,57.245424833149826
Australia,97.9937050630611,97.22336044392351,83.29785924044644,48.520598440036366,46.975914864150695
Austria,5.9707809892806,41.143715882430755,10.783645326735037,51.50965851559398,69.20766789221824
Azerbaijan,50.68780705420187,59.143897469682805,64.12828208440102,95.98782404194759,16.491153290442504
Burundi,38.122222509889994,29.026991671149048,38.37714815412294,73.13109907907189,78.50998647505911
Belgium,96.79491048488129,26.425146002784285,43.4803284386608,45.36233125645881,25.390449339415976
Benin,23.24274919989272,26.890886160875105,72.05779674051708,6.056140940499044,8.127215198992843
Burkina Faso,13.60575230365173,45.10388097627632,38.00297683155719,37.86495410676209,38.066781009752006
Bangladesh,87.9865071026878,92.24369017773077,25.87308860194636,20.79086115929999,3.423066523796847
Bulgaria,11.663260780205487,74.80346720610306,9.593450844015727,70.7275608632727,26.4486772043224
Bahamas,98.78389142850142,21.265175459994367,42.6116758212228,23.12140891577581,49.293359388284244
Bosnia and Herzegovina,89.03542636180019,68.38104848592198,68.45621607171385,75.63126386757905,25.873443865333535
Belarus,57.75354067284722,73.66058573888915,76.60561312960607,4.955662047870446,10.546350254480574
Belize,35.39036456343108,10.654879506103654,36.71580545469566,83.69112206993428,0.6021537808517774
Bolivia,27.66719873461718,75.6850866317404,82.66906390596313,74.53367196366854,34.49797582202044
Brazil,27.71732206511165,1.6028954978387189,20.01265213395357,48.36131674126669,16.433835186207958
Brunei,55.45737287376846,58.01856022504855,50.22757693285206,63.50669329566665,18.71525982355855
Bhutan,6.50603000190223,16.41436086002822,27.112047022029216,13.018851606717806,68.39010214845467
Botswana,71.547848007654,44.4889748488879,40.77414555930572,82.34786259065233,12.602499638810038
Central African Republic,42.487358058603455,29.088392863497692,28.7694792886386,65.95100771235238,5.730430093221628
Canada,24.988377486703516,4.403697967587816,93.63911722096663,10.751759611683054,56.6321951917758
Switzerland,37.50381298768166,96.34654431819128,27.77798454222874,46.6497013402652,82.67184939049854
Chile,19.936733613576628,72.75573799430116,82.43811388852326,28.102884851730746,42.87113171904189
China,48.482778486438505,6.119381078027342,96.75902323526428,58.9768087808923,70.61161821092703
Cote d'Ivoire,35.54338266660068,4.395104604353673,89.47812468351967,97.47609113216612,65.19791812585875
Cameroon,39.13358339789171,56.1642783294517,37.389281700121494,16.5064302568824,63.67027338658953
Democratic Republic of Congo,77.32236557027383,79.88716484683394,36.23282348915272,8.741969968455908,64.44065432581125
Congo,25.01982259728145,75.1956164054586,86.4146874999527,31.719837263342043,93.37466960707488
Colombia,12.968967841004474,36.71273127560287,47.5266969112759,63.457658275291074,57.25512260024082
Costa Rica,55.326386402140656,52.7523819542589,61.958143386035935,5.142831460833419,31.350126457405537
Cuba,38.96732188745281,17.995585752482857,59.90079434745312,57.650746944123064,14.339031656211642
Cyprus,57.39480109775047,8.7912505247553,58.16783603538392,69.98552181083214,44.03381774937438
Czechia,16.48031717019579,38.922201729980735,7.500594781022151,26.79286379970054,41.78888858351284
Germany,6.447999165272433,84.28838290966067,33.42549909431221,38.886898687160055,28.415715507755714
Djibouti,35.34381125231074,57.99642894085747,5.14757493079514,29.210063588748824,11.485828990009772
Denmark,47.32267004689701,31.47854211917449,65.70939779297792,12.197532456164495,38.83965130698323
Greenland,23.52804024145162,89.35401995067927,48.37824402345239,10.519907462135535,37.02508403753004
Dominican Republic,46.493797980256815,83.03800777858963,2.2323863357328055,60.02740379394934,69.15460254159561
Algeria,22.82228398990962,5.435608025895366,9.47375414603301,55.32536153967237,33.314726890699355
Ecuador,59.18607601356709,51.24149748253293,35.388586972403644,14.32464249738532,73.20588698492976
Egypt,4.859835374105548,1.8677638070380809,42.32676593370097,99.12312091116036,90.78114341566419
Eritrea,4.156266462695523,92.80951769814081,77.8054907454147,51.22508163646139,15.148293805952594
Spain,87.04872373741588,13.85951569494851,86.95562866426914,1.5731672524849083,69.39843092246181
Estonia,44.21348591432799,30.342773239852285,92.854124070019,55.909046241709135,5.669318248045729
Ethiopia,50.75353398196049,79.27532781634437,23.968899632935216,47.4800261507548,37.59042218439084
Finland,57.6771274965218,96.9632621860045,67.15434336542174,55.03646087559163,75.0099003576625
Fiji,95.83594611813588,24.624337000289888,7.690976427398555,87.00000375092213,37.780983900612476
