name,1d,1w,1m,1y,all
Bomi,0.3362744127869055,0.6409191315121189,0.13314446058752483,0.2902363535650131,0.06638929450691022
Bong,0.06434210240364102,0.030102450008975268,0.16538821579107854,0.23758547491950455,0.4655950318708406
Gbapolu,0.15928029051419856,0.5136703881044313,0.1832388399537751,0.14641169319583203,0.993043587998448
Grand Cape Mount,0.2435392358301247,0.9158272588024545,0.06519312673585509,0.10272476746216774,0.893828835151663
GrandBassa,0.19358300896144132,0.14231908186913367,0.4426577472495109,0.9182987238149134,0.9672990977115027
GrandGedeh,0.27599531856225157,0.8479269487907003,0.12985211056543355,0.30011310657827617,0.13199063422651913
GrandKru,0.4147487682047003,0.1533603002537891,0.6474780881916808,0.8054518381607333,0.3048346125964675
Lofa,0.16170049015292887,0.9346200032867233,0.7272634055412188,0.5964708021816574,0.7338255347186409
Margibi,0.9981637201257623,0.4302367228576005,0.28290380973159845,0.291812037364956,0.0879169484861484
Maryland,0.8215547366584078,0.5078366835667928,0.6161464514332387,0.07927155173774725,0.39612047845747167
Montserrado,0.29063786273690384,0.5581934696209416,0.2907572959586221,0.12602062200299857,0.9847933374887483
Nimba,0.19139839730905095,0.347926754342042,0.8626095298621308,0.3076194907669926,0.35789062610326716
River Cess,0.0713259229389579,0.5735297197394694,0.26164006324955746,0.7236315115681948,0.5146874377707148
River Gee,0.7286139630420877,0.9637055770007291,0.38983450943013875,0.7153791517312044,0.1163342677362802
Sinoe,0.409995615856094,0.8367261007335312,0.7049806780876066,0.2660893689877144,0.539097827091962
